gene_name	IMMU.BC2.0118.FIXT.01.RNA.01	IMMU.BC2.0140.FIXT.01.RNA.01	IMMU.BC2.0145.FIXT.01.RNA.01	IMMU.BC2.0151.FIXT.01.RNA.01	IMMU.BC2.0159.FIXT.02.RNA.01	IMMU.BC2.0163.FIXT.01.RNA.01	IMMU.BC2.0166.FIXT.01.RNA.01
ARPP21	0	0.039625	0	0.055937	0.087121	0	0.027366
TADA2B	8.587643	6.547931	7.419923	8.165112	8.701929	3.797169	7.343231
CCDC96	2.28791	0.26915	0.933566	1.145213	0.3918	0.280366	0.357217
GRK2	7.965439	25.297342	19.982253	14.225051	34.836686	16.966991	28.050857
RELA	13.491598	24.116592	32.62161	17.077291	25.906146	28.425752	38.801999
EVC2	0.645469	2.856544	3.46901	0.884022	1.92127	1.575929	1.139241
ZNF680	35.436556	11.725632	17.307208	14.026733	24.486986	5.919926	29.422693
HECTD4	18.798706	16.345957	26.838689	28.354913	30.244878	10.074936	26.445675
FAM222B	8.011633	8.864529	14.104909	6.766513	19.698218	13.60332	22.652121
BNC2	3.657675	10.118031	10.126622	5.176967	8.458924	3.181976	6.62739
DEC1	0.214979	0.294472	0.630954	0.049984	0.143656	0.034666	0.067021
RXFP4	0	0	0	0.038459	0	0.024594	0.068622
HPSE	0.999632	2.655217	6.323006	1.514087	3.931514	1.091568	2.294166
COQ2	2.768555	6.216495	8.00754	3.586844	10.148745	3.870914	7.480002
CCDC63	0	0.020481	0.004406	0	0	0.013675	0.016356
HSPA6	0.618298	2.496142	3.110087	1.376781	4.111299	7.904716	2.448812
TRMT112	35.584928	45.066718	68.149077	29.429835	56.306224	81.612484	86.157579
LRRN3	0.129001	0.228922	1.52926	0.10437	1.39848	0.026504	0.281542
KDM2A	27.675902	44.99936	53.4938	25.377248	68.430521	33.22835	85.587216
ACSM6	0.008826	0.045499	0	0.013209	0.011113	0	0.004944
ADCK5	2.796628	3.026725	5.508004	3.860714	5.012147	5.127817	6.380643
MRPL57	10.46599	4.063839	10.606852	5.330322	11.645888	4.566289	6.328264
NOC3L	4.455821	8.394872	6.584538	4.102848	15.762159	4.940421	8.17434
ESRRA	7.545693	8.811109	11.869869	11.159614	8.600908	12.044449	11.825084
RHOD	6.801619	5.124296	5.255143	4.579488	2.650217	14.620422	17.01779
ADAMTS20	0.00275	0.039314	0.013001	0.001696	0.02278	0.01804	0.027315
COMMD1	11.583683	9.543433	20.103775	15.923503	17.784481	9.830597	28.680017
RAPH1	42.676564	8.861738	34.338186	13.801092	18.196161	8.045715	19.757804
MTX1	7.855265	6.598549	13.72925	10.104823	10.682074	13.286737	9.14599
ADCY5	0.051381	1.930184	0.518506	1.314731	1.34202	0.092765	2.023904
PARP14	10.634324	102.32121	60.924267	19.648314	87.052081	15.615131	64.566176
CYSLTR1	0.662287	4.802679	3.4655	0.932885	10.256761	0.540674	1.058993
PARP15	1.362449	9.9389	3.289415	2.075799	38.981866	0.699788	1.502354
CKS1B	29.584541	25.035588	53.765338	15.948582	29.641445	48.336309	67.505915
ABCD2	0.082701	1.203038	0.333626	0.163359	2.891583	0.201934	0.195947
AHSA2P	35.928274	27.059302	41.092794	15.986845	51.854806	24.293206	77.129159
ABLIM3	9.600407	3.216155	3.463678	29.221644	5.560268	0.695549	1.607352
MAB21L3	0.173346	0.026126	1.386886	0.092169	0.118881	0.066589	0.124621
TUBB8P12	0.128856	0.136915	0.22508	0.376409	0.103629	0	0.181693
MFSD4B	7.39118	2.911333	5.508262	1.824234	5.85157	2.839117	2.259231
VANGL1	2.412165	5.005723	9.601887	3.978056	7.950409	8.587058	17.61793
GLRX	9.677036	16.616186	12.043204	7.685173	28.306161	11.359781	10.51006
IQCB1	7.776241	14.776094	11.102047	13.691134	27.170043	12.180529	20.740813
SYT12	0.180318	25.119526	1.104025	2.81514	0.324746	0.614057	16.26804
GOLGB1	38.130498	21.296316	24.913319	29.529212	38.496994	20.586153	56.651809
TERF1P1	0	0	0	0	0	0	0
C11orf86	0.025013	0.152935	0	0	0	0.008618	2.246746
LIPM	0	0.01262	0	0	0	0	0
GPR151	0.004229	0	0	0.003453	0	0	0.010884
DMRT2	0.059338	0.375168	0.210857	0.079488	0.082715	0.469772	1.018912
ZNF483	1.480083	1.968727	2.741641	1.141964	4.29809	1.962993	5.548016
PLAC8L1	0.143616	0.473802	0.342557	0.04588	0.63937	0.922666	0.815415
SLC2A14	0.033349	0.352707	1.460562	0.00604	0.039746	2.027064	7.137996
GPR137	6.424831	9.48894	14.650015	11.302286	6.280801	18.181256	13.109506
SNCG	0.42754	3.670436	6.745954	2.111875	6.612948	1.124662	4.189088
MMRN2	2.174497	6.038501	4.41346	4.258907	4.91522	0.892447	3.422026
MZT2A	9.991868	18.061971	22.517291	12.941646	22.540286	25.426324	31.201104
TNKS	5.414643	13.270358	15.719323	7.946388	15.225357	13.570137	23.431179
ZNF449	1.700675	2.603661	6.636478	1.790102	4.73841	2.623079	6.001822
ZBTB21	5.399097	6.898717	14.315112	6.55446	8.365501	9.170943	14.400812
PPP1R3B	11.329916	9.727322	20.491308	11.423927	9.455179	8.712213	20.775791
OR10K1	0.034129	0.029059	0.058976	0.013942	0.062613	0.050187	0.106181
FAM86B3P	1.284488	1.972397	1.946088	1.560178	1.704383	1.840502	3.397728
GPR148	0	0	0	0	0	0.007999	0
STOX2	0.325353	4.599123	4.234308	1.278599	8.471032	7.287155	7.248616
MAP3K11	11.023981	18.304742	23.499776	15.843093	19.157927	17.952632	24.765893
TRIB1	17.620505	13.596835	36.140648	8.555643	19.107497	9.342368	45.035547
CST9	0	0	0.037254	0	0	0.006191	0
KCNK7	0.036065	0.011639	0.119528	0.080616	0.055846	0.153497	0.158664
SFT2D3	2.15068	2.298088	2.915902	1.682819	4.843445	1.464307	5.910635
AC007967.1	0	0	0	0	0	0	0
AC097637.1	0.128622	0.75128	0	0.243023	1.492561	0.134253	0.279338
C1QB	16.823126	95.556758	53.717396	48.518107	71.342237	18.141324	54.483105
C1QA	13.520129	85.958301	51.420532	31.442648	58.819801	15.126129	33.735821
NDNF	3.325807	0.703985	0.629235	0.200567	0.320449	0.104316	0.206579
IQCF1	0	0	0	0	0	0.016455	0
OLR1	10.619776	2.111467	5.90753	5.360299	14.960213	2.668279	2.32645
GLIPR1L1	0	0.041629	0	0	0	0	0.02913
DAG1	11.436781	11.37889	19.210934	18.090338	16.952242	36.52502	69.645423
INSM1	0.018593	0.320566	0.031272	0.026554	0.210165	0.40603	0.143256
DAB1	0.014717	0.175745	1.844699	0.134181	0.543886	0.119484	0.198409
ARV1	13.467418	6.868521	7.01981	4.16935	18.610335	13.648065	18.92221
NAA20	26.471313	16.006496	24.732937	14.869136	33.465839	31.655676	20.990255
CCDC36	0.722899	2.46253	2.640785	0.82584	1.281525	0.55759	2.155995
RNASE8	0	0	0	0	0	0	0
SAA1	43.261689	4.70048	15.293683	10.946021	7.024812	57.643422	77.288666
MINOS1	14.229284	22.19052	30.46622	15.980452	49.600944	29.951507	41.392829
EHBP1L1	13.334694	27.934944	34.928134	17.421392	48.429702	12.516923	29.96867
THAP2	2.733042	5.139851	4.491215	1.863064	5.930073	1.369376	3.561024
TMEM196	0	0	0	0	0	0	0.008357
RNF26	3.029041	6.17753	6.322412	4.649306	4.932919	12.421306	5.494896
PPP1R14B	27.709058	46.006365	81.307232	43.569563	48.631672	124.908141	73.062619
RNASE11	0	0	0	0	0	0	0
SSSCA1	2.464055	7.377714	10.109677	4.731044	4.945626	11.743327	8.457678
AGR3	0	0.099726	3.951857	0.619318	0.401256	0.543444	0.429487
SMARCC1	22.301662	27.437323	28.765226	19.446285	45.319803	33.130428	79.031782
ZNF417	14.073584	14.472591	19.74783	13.083612	16.674258	4.380668	12.462167
PTPRM	21.557927	15.81008	18.732254	13.670635	24.967503	20.164497	11.533157
FKBP2	27.820729	23.487339	31.528102	27.335064	20.298036	39.95498	40.059841
VEGFB	27.333949	20.704743	31.098041	24.945378	27.571011	39.494194	47.272258
PEAK1	12.911377	26.226821	27.175117	14.727738	38.248203	25.385241	38.29818
TNFRSF10D	1.261832	1.839048	2.421277	1.078168	4.465518	2.783409	1.019152
MST1	1.856057	1.539137	2.108607	2.397168	1.431245	3.817885	5.191875
TNFRSF10C	0.181004	1.059008	1.012981	0.323967	0.57988	0.177707	1.231919
GMPPB	8.24632	6.525415	6.444817	9.317598	7.616616	5.796694	10.508175
MOB1B	3.77241	9.859071	12.120304	4.061094	21.397006	4.567532	12.610156
ZNF622	5.21295	6.531887	7.310993	16.083232	11.020981	7.692708	10.247315
CSPG4	1.895585	4.820623	3.336421	4.82092	1.483328	0.870142	20.414282
SNX33	5.143913	5.423593	6.171814	5.309938	7.189768	9.869994	12.197626
C2orf70	0.005657	0.115953	0.319277	0.036899	0.2494	0.97262	4.71406
NABP1	46.881205	32.165372	32.797156	14.020355	78.32702	12.210284	15.983595
ADGRF3	0.503092	0.272605	0.381726	0.084301	0.241394	0.447786	1.111715
NLRP13	0	0	0	0	0	0	0
CHD2	67.221194	55.178075	43.351237	35.981767	115.078354	46.675117	96.666162
XCR1	0.035973	1.29841	0.333434	0.082369	1.606496	0.114604	0.083044
CCDC106	0.474792	2.670888	3.01032	3.564924	1.926071	1.730672	2.929875
CCR9	0	0.027581	0.006457	0	0.279927	0.011327	0.009029
CEP83	5.395812	7.393173	11.405762	7.211535	20.083895	7.031209	12.493102
SULT1B1	1.488306	0.364801	0.368702	0.134206	1.601704	0.070765	0.304286
NUDT4	18.07324	13.848311	22.169655	42.089052	43.498082	5.494888	16.005148
PC	8.740798	14.806801	4.34188	2.009921	2.068583	4.088845	15.982222
UGT2A1	0.086863	0	0.136807	0	0	0.021883	0.025349
SCAI	2.337969	4.49948	4.633988	1.666752	9.206363	3.287212	13.695159
GPRC6A	0	0	0.007067	0	0.006065	0	0
NMNAT1	1.394584	2.204683	3.601565	2.741545	3.544066	1.928984	4.620761
LRFN4	1.309761	8.953088	3.322651	2.837332	4.18762	8.137296	14.797189
TRAPPC3L	0.022033	0.20089	0.134361	0.067376	0.282573	0.035344	0.075129
APOBEC4	0	0	0.003048	0	0	0	0
SLC19A1	1.340362	4.282954	5.629162	3.93992	5.471221	11.270896	11.103416
HSPB7	0.548061	1.441595	1.01489	0.312866	1.241213	0.150331	3.980414
RCE1	4.226969	5.110554	7.884524	2.895516	5.846742	8.912458	8.324439
UQCRH	59.775159	67.244306	96.613754	40.340628	112.618182	204.025014	204.09982
TAS1R1	0	0.054363	0.013885	0.014818	0.014312	0.009755	0.455563
HES3	0	0	0	0	0	0	0
EIF1AX	12.349412	17.97788	22.283421	9.675753	33.001786	18.253337	48.502465
SPDYE2B	0	0	0.011936	0.067687	0.028668	0.060331	0.133784
OR1L1	0	0.042617	0.0166	0	0.033897	0	0.013668
BCLAF3	3.534242	5.425893	6.959203	3.018138	11.386091	7.648655	10.884727
PSMD1	43.752588	22.846758	38.57771	27.152257	43.472463	15.620348	45.126735
ADGRG2	0.15287	0.136949	0.140488	0.161275	2.945378	0.772599	8.902324
SPATA3	0.147264	0	0	0.028174	0	0	0.080492
MUC13	0.032583	0.014302	0.287411	0.003723	1.454816	0.049006	0.117189
SUSD5	0.90592	0.258681	0.254592	0.762726	0.241736	0.045855	2.455087
HEG1	16.514475	33.570729	34.203185	20.573915	45.899028	9.119499	27.379462
WFIKKN2	0.003602	0.012777	0.006633	0.050068	0	0.012963	0
C11orf80	10.650868	10.593679	34.189199	11.298619	21.39882	22.147658	28.353546
TOMM20	34.534439	29.246775	46.09629	20.023764	73.538781	91.242489	109.410459
AP000769.1	7.754501	2.23873	2.913682	0.690959	2.111537	6.796201	5.220719
C1orf100	0.038847	0	0.018593	0	0	0.020939	0
AGFG1	102.905457	31.332915	30.048045	28.471259	40.893528	24.967699	23.626988
STAT5B	9.044139	20.412362	26.693606	7.958141	45.952722	14.740846	17.313212
CD7	0.309033	10.661147	1.86526	1.138566	10.129256	1.305106	0.841413
TOPAZ1	0	0	0	0	0	0	0
CNP	27.999852	26.470094	43.64488	24.534705	26.069535	29.287248	32.150445
JUP	45.994846	20.298807	36.170837	57.058075	34.668006	44.441603	59.321591
HAP1	0.044437	0.119671	0.389303	0.047249	0.217908	2.558823	3.625476
TDRD12	0.108047	5.630623	0.280483	0.019505	0.335161	0.081354	0.383702
PPIAP7	0	0	0	0	0	0	0.031762
CCDC13-AS1	0	0	0	0	0	0	0.016852
EIF1	160.965586	127.106823	234.226071	122.809853	311.870934	353.83032	200.720045
ENDOV	21.297429	8.952605	12.076092	6.693087	11.707682	8.564623	8.872659
RNF213	68.780321	163.399237	179.466514	57.89192	180.147604	66.608716	85.998951
TIGD3	0.020288	0.084219	0.377775	0.225834	0.13384	0.249162	0.492724
KCNH6	0	0	0.048899	0.109026	0	0.006242	0.003839
MARCH10	0.100248	0.029398	1.408745	0.026326	0.013343	0.181653	0.129241
PLK3	7.038871	8.596437	11.746521	8.588752	13.838455	5.457981	11.557569
NET1	8.453331	35.00517	28.429414	20.429734	24.725959	62.082883	95.647026
DPY19L1	4.424457	5.373227	30.995895	2.804739	11.895824	9.424531	18.36559
AC008080.1	0.562454	0.584333	0.605972	0.233302	0.699584	0.72878	0.482868
AC013489.1	0.174504	0.169719	0.146426	0.08524	0.365304	0.515002	0.259765
PHOSPHO1	0	0.247304	0.086839	0.070807	0.248897	0.061733	0.200352
ZNF791	10.201069	13.354463	10.994653	6.199555	22.175704	5.673299	12.640385
PHC3	29.76506	45.866099	42.153303	22.776482	84.431312	39.413435	84.605464
GPR160	5.36588	2.441792	8.999485	8.430176	22.91072	3.536888	6.87374
CBX2	22.02716	6.354256	18.963266	6.942207	8.516547	9.217977	8.737346
SPTBN2	16.398715	10.025511	21.224356	17.604972	10.247815	17.825361	30.342294
GOLIM4	8.331082	12.197596	29.94208	12.333564	17.094197	12.133844	18.597342
KRT28	0	0	0	0	0	0	0
RBM4B	7.466886	9.276876	14.612541	6.509991	12.99975	9.400553	21.533568
ATP5MD	135.669112	112.401097	106.647401	103.01994	146.237351	150.462144	217.878902
HOXB2	1.789628	2.876144	50.991273	2.799763	4.542381	4.346132	12.103504
C1QTNF1	2.848125	11.032783	10.236666	4.684248	21.590848	5.122079	11.000029
MARCH3	0.987048	3.588378	6.071033	1.849456	11.781637	3.352505	7.986595
SWSAP1	1.778735	0.777562	0.955761	1.823643	1.293447	0.413136	1.110337
SLCO4C1	0.156641	0.074957	0.535468	0.102868	0.723922	0.967606	0.279463
RBM4	38.628923	48.280902	65.555794	56.922961	67.12866	46.485226	96.211509
PIFO	0.136798	0.346754	1.128311	0.141792	0.179439	0.798237	3.037979
XXYLT1	2.15017	4.215136	10.132579	2.25093	5.253426	3.501898	5.773061
SNURFL	0	0	0	0	0	0	0
UBXN2A	7.859073	6.694235	15.127518	5.925382	12.594644	5.769131	35.583742
AC095040.1	0	0	0.015047	0	0	0	0
RAX2	0	0	0.003829	0	0	0	0
LRRC63	1.320644	0.160304	0.291358	0.440211	0.477761	0.487386	0.513079
TCAP	0.490608	0.496362	0.553769	0.347693	0.777435	0.37076	0.729853
CCS	7.303801	12.506099	19.308541	18.718055	12.097406	9.271938	26.927737
NRROS	0.547242	5.063378	2.711239	1.510516	4.253163	1.382	2.050965
CEP19	1.015708	0.833586	1.836854	0.603391	1.393982	1.461321	4.479298
KLHL15	0.942726	2.486652	2.486645	0.854881	5.082073	2.651306	5.226736
FBXO45	3.487505	4.36812	12.623656	2.933877	13.960234	17.319147	15.486295
SPERT	0	0.030937	0.148045	0.007069	0.108913	0	0
TENT5D	0.004346	0.162722	0.172485	0	0	0.015079	0.219959
GNG5	33.059648	54.270436	75.343762	33.792126	89.676903	46.2597	86.678
FAM3C2	5.538039	11.606026	26.970851	8.256312	15.977615	22.57622	48.286438
SLC25A30	4.627978	5.140775	5.007644	4.13	10.563315	4.932139	2.131996
C9orf131	0	0	0.032666	0.050122	0.101126	0.01641	0.073774
CD34	7.872674	18.114932	13.93575	10.877521	10.597513	2.226008	9.964369
CTSF	4.850384	4.97602	8.374868	4.263789	8.639481	8.383475	32.634125
MSRB3	7.07322	7.21365	11.234788	7.236314	10.462112	3.629677	15.246626
LEMD3	6.944494	10.690854	12.548157	9.672234	20.482592	5.15724	12.403979
C16orf91	6.783291	4.752186	3.381497	5.518461	3.781967	2.961292	4.022858
TLR10	0.14678	4.17329	0.627291	0.461086	23.651889	0.204804	0.496373
TLR1	5.447989	26.347941	12.69201	5.874778	38.757108	4.32921	14.030482
TLR6	2.053487	7.580011	3.576914	2.025188	17.788827	1.767386	6.814325
FAM174A	1.849599	3.107866	4.619904	4.017333	6.727797	1.367263	4.529287
RGMB	10.019445	8.122865	9.121384	7.813592	5.992191	3.977291	8.628682
FAM53A	0.478131	1.115084	3.174079	1.084841	0.469198	1.484674	2.864815
NWD2	0.415009	0.034789	0.059274	0.025746	0.003188	0.021791	0
CYB561D1	2.641472	3.561144	4.21622	2.896774	6.054175	2.448176	6.351879
GSTA3	46.238857	0	0.05181	42.377892	0	0	0
ZDHHC24	2.615675	4.561263	5.317139	3.141599	6.368547	6.284207	9.296392
AC020659.1	0.034444	0.996103	0.161049	0.141142	1.158198	0.119416	4.230032
TRMT10C	7.793192	6.780913	6.533394	4.895079	13.957079	8.036668	17.534964
SELP	0.112765	6.236165	0.772446	0.815637	5.633531	0.128691	0.447905
CTU2	0.711727	4.355147	5.35842	2.648288	3.689432	7.467092	5.573132
MGA	14.787118	18.289554	26.874502	13.884239	31.110001	15.392879	34.293922
C12orf66	3.77234	2.909034	5.693766	3.673031	7.841945	2.596423	3.100485
ARL13A	0	0	0	0	0.069449	0	0.361006
SNX31	0.059618	0.040978	0.104007	0.0221	0.130585	0.32275	0.211676
PIGG	23.509781	24.391004	31.253404	19.38744	30.148697	9.257643	20.309793
PRPF8	33.220558	42.427097	44.889652	35.447258	83.557734	34.89632	114.811841
ADCY6	21.126394	6.933644	15.987557	20.137867	13.456303	6.465971	36.981171
REP15	1.211515	0.67137	1.203365	0.592783	1.598816	0.443219	1.728342
PITPNA	12.274918	19.168541	21.355529	15.6196	36.321677	14.812839	69.423037
DDX23	29.866617	21.93581	40.784429	30.221248	42.572015	17.807078	63.984888
ZNF80	0.023481	0.120178	0.060957	0.039879	0.64657	0.052803	0.04485
ZNHIT2	1.63847	1.870027	3.228323	1.852926	1.300187	3.292205	3.391568
EVX2	0.00914	0.0064	0.056207	0	0.006443	0.004397	0.013144
ZBTB4	6.577262	12.877025	11.921563	10.387907	18.116635	11.656645	24.749625
TNK1	2.003152	1.997203	1.781634	5.87691	1.974616	1.898224	6.227157
ZHX3	5.175608	6.307686	6.657028	7.447973	7.345055	5.232166	17.388336
PHLDA3	5.642604	3.757023	5.386424	4.733546	9.316447	22.358362	17.006332
DIRC1	0	0.473866	0.383209	0.023919	0.04038	0.090743	0.335801
SLC16A11	0.055342	0.175448	0.081574	0.091503	0.177541	0.243583	1.662406
SLC16A13	1.36718	1.982225	2.301755	1.756352	2.460857	2.747655	7.07472
GLIS1	0.023439	0.322942	0.174614	0.122345	0.09338	0.09055	0.681425
OR2Y1	0	0.014608	0	0	0	0.039394	0.023555
CHRNA9	0.017688	0.035003	31.139017	0	0.018489	0.057058	0.027767
PODN	4.419393	11.630969	7.30642	9.202275	7.564826	2.413687	5.832395
STAG3L3	39.644589	29.957654	19.632979	23.395427	36.289928	19.308358	67.158857
SLC6A19	0	0	0	0	0	0.002797	0.031805
SNHG11	5.404341	2.601748	4.71268	6.02088	3.189503	2.958426	5.418468
C11orf45	0.392726	0.816527	0.660216	0.59836	1.095113	2.743255	1.527471
EXO1	1.272722	5.084779	8.191359	0.978161	4.125663	7.417561	25.671678
RALGAPA1	16.799359	14.256024	15.657044	11.445099	32.640195	6.140488	40.008215
PMS2P6	9.386388	9.94386	9.61122	15.844632	16.659276	5.119773	18.466504
MIR1-1HG-AS1	0	0.109338	0.017252	0.009493	0.043901	0.015131	0.088692
LIG4	2.863414	5.172452	5.79251	1.432567	8.213139	2.209442	7.250708
MIR1-1HG	0	0.024684	0	0	0	0	0
PPIAP24	0	0	0	0	0	0	0
TRHR	0	0.008683	0	0	0.01041	0.00706	4.759788
RPL35P9	0	0	0	0	0	0	0
GTF2IRD2B	17.131607	16.29244	16.649624	16.410096	24.537263	6.475264	25.278738
ABRA	0	0	0.023395	0	0.015069	0	0.008185
ATP2A2	30.808105	60.914984	108.856344	49.927914	107.468003	48.84163	93.301876
ZWILCH	2.660288	3.998224	11.736202	2.576362	9.2948	9.397093	16.041462
RPL4	381.847616	260.748526	308.297589	298.665202	818.706307	1558.361195	631.948159
SNAPC5	9.383994	6.416658	12.302359	7.059633	16.376378	14.630738	18.087268
STARD6	0.126175	0	0.122377	0	0.024518	0.062111	0.052486
GOLGA6L2	0	0	0	0	0	0.004897	0.022941
VWC2L	0.023002	0	0.010554	0	0.007958	0.014933	0.012935
C12orf76	4.31926	7.866922	7.435987	5.216911	10.56279	6.066515	4.757054
ZCCHC12	0.054249	0.112866	0.653117	0.019652	0.094459	0.034291	0.143505
CNTNAP2	0.033353	0.091732	18.10866	3.903255	0.769875	9.789894	0.039543
GALNTL6	0.075433	0.152822	0.601695	0.008034	0.530879	0.025527	0.025534
LINGO2	0	0.231622	0.018823	0.043029	0	0.257231	0.003765
BBS1	9.412198	13.255479	16.52816	8.744919	14.311164	8.582167	18.692197
DENND4A	5.30339	13.754318	10.539639	5.717417	34.570262	12.364575	13.753395
PPIAP80	0	0	0.023746	0	0	0	0
IGDCC3	0.008548	0.011979	0.136314	0.041924	0.048018	0.039661	0.188074
GCSAM	0.085647	1.72928	0.292442	0.291028	4.092163	0.248176	0.073595
ANKRD36C	84.019822	40.596972	306.83518	27.837043	72.000935	26.692779	109.089009
SLC26A9	0.008486	0.053042	1.94903	0.024825	0.112284	0.27483	0.746246
MFSD4A	0.037576	0.65287	1.484456	0.232457	1.400091	1.388516	6.934444
PELI3	1.643855	2.477952	4.413277	1.857288	1.994362	4.767833	8.840902
TTC9B	0	0.006002	0.010536	0	0.006029	0.012314	0.029447
MYO1H	0.24165	0.028411	0.566784	0.03193	0.324215	8.315609	5.581659
TMEM81	1.262308	1.805688	2.978128	0.600456	2.419953	2.539355	3.054613
MRPL11	5.807106	10.971546	16.767961	5.76258	17.276269	28.304391	16.360085
KLK15	0	0	0	0	0	0	0
IL20RB	0.552394	0.463556	0.610102	0.470152	1.771236	3.306657	2.264492
GOLT1A	1.770396	0.223985	4.795505	1.600151	0.801633	4.362617	7.792332
RPL10P2	0.133511	0.130348	0.197585	0.170976	0.051562	0.051755	0.247625
AKIRIN1	15.941265	17.468768	27.955073	8.053067	36.447871	30.391373	38.894326
NPAS4	0.039347	0.020604	0.139506	0.022129	0.018257	0.016963	0.861312
MSL2	11.772474	16.72895	11.336857	7.890291	37.052764	15.075344	24.110209
ZNF497	0.668604	0.476113	0.990005	0.691491	0.411238	0.790212	0.475373
TRAM1L1	0.49738	1.333153	1.760133	0.361338	1.911679	0.471575	1.013821
CMKLR1	2.735841	11.088669	4.016255	4.408236	12.020479	1.824594	3.90823
ANGEL2	16.30761	19.810884	30.919447	10.920135	34.973704	15.945623	30.116896
UGT8	3.779368	3.945424	4.58026	0.14511	18.462243	4.918658	12.725756
KY	0.077207	0.041442	0.087139	0.28892	0.02598	0.062344	2.015565
IQCK	11.663024	5.846605	8.670005	9.001067	13.12823	3.968678	11.997766
SLCO2A1	1.329767	10.483296	3.642904	8.220321	9.511064	0.811274	3.821192
ZNF266	8.268707	22.928588	11.935686	7.920161	29.256308	2.653611	16.394361
OR7D4	0	0	0.006386	0	0	0	0
SLC29A2	0.158627	0.530745	2.39054	3.041223	1.216542	18.647601	8.937596
BRSK2	0.071162	0.09052	0.17824	0.234234	0.029836	0.545067	2.224356
VN1R6P	0	0	0	0	0	0	0
FAM47DP	0	0	0.002422	0	0	0.008517	0
GRIK1-AS1	0.082519	0.168791	0.179457	0.033466	0.185761	0.190492	0.168137
B4GAT1	1.596723	2.503023	4.016826	1.977865	2.251429	2.590062	7.773447
TMEM167A	16.179778	14.58152	20.492243	14.197442	40.308029	10.363231	22.149794
LEP	0.299568	0.7865	0.45113	0.006192	0.8082	0.122664	1.793909
SH3PXD2B	7.427343	15.521634	25.152885	9.418007	14.826881	5.134131	22.493256
PPIAP72	1.53956	0.861084	0.478017	0.461062	1.349199	0.864112	1.307342
KIAA1551	9.290714	45.93185	27.12779	9.480258	88.095104	13.625624	32.871986
LARP7	15.408533	23.07735	16.121147	11.010155	33.07816	7.824336	23.814242
FGFBP3	0.396347	0.522173	0.94301	0.514705	1.109651	0.625537	1.357869
NR1D2	4.372785	10.415648	9.524405	3.246202	15.846593	5.744017	45.762046
PABPC5	0.194017	0.507817	0.41618	0.360896	0.918661	0.069666	0.239477
BRMS1	6.52591	7.509159	13.212714	7.775348	7.929105	11.335879	14.157546
RPL15	336.391909	306.386383	261.072399	417.457594	784.641734	683.043937	1203.006045
FAM241A	0.666719	1.936971	1.876989	2.364095	6.091509	0.373071	0.830901
HRAS	11.697803	6.525839	12.472968	11.773684	9.237584	14.9748	13.488718
WDR49	0.510027	0.46811	1.418941	0.144128	0.917315	1.376509	0.086742
SRP72	28.032231	29.190894	38.786362	23.048303	60.329351	26.720473	66.010649
PCP2	1.690564	0.214703	0.375836	1.301053	0.617888	0.143128	0.359485
RIN1	0.661916	1.264522	1.955535	2.001613	1.007692	1.612737	3.080787
ODAPH	0.029301	0.111581	0.044436	0.105077	0.179321	0.020704	0.134914
THAP6	7.311719	8.67523	9.599866	5.330631	16.192907	3.812668	8.471106
CEP135	2.737976	8.009801	9.918671	2.886009	13.163019	2.378507	11.173111
FZD4	10.258272	8.238665	8.187395	8.905453	10.21475	2.07562	3.591356
CD248	2.885173	21.312322	21.313859	5.469799	5.880445	2.103473	21.658925
BTC	0.509202	0.889111	2.491559	0.299664	2.826808	0.923046	1.961545
PDZK1	1.942916	0.113382	0.319035	0.306916	0.163092	0.643551	0.890234
ADGRE1	0.054224	0.472314	0.287873	0.106597	0.950311	0.02877	0.18254
DENND6A	10.864981	15.439776	13.842326	6.924994	20.39123	9.803402	29.220244
PDE12	6.306563	8.655308	5.018594	5.073332	8.300904	3.439448	7.757329
GLMN	2.143224	4.74138	5.361764	2.298869	10.602498	1.812263	12.338544
DNAH12	0.784127	0.799196	0.392745	0.067997	0.084785	0.120439	0.448488
YIF1A	10.726565	13.362922	27.101182	14.423532	15.425501	39.226733	22.861872
CNIH2	1.350162	0.876409	3.795527	0.748173	0.846944	4.833082	14.788018
AMY1B	0	0.286845	0.196901	0	0.026311	0	0.224665
NLRP6	0.071448	0.233438	0.068321	0.054673	0.32399	0	0.004216
NDUFA11	20.861938	38.85821	44.03953	36.237887	33.104731	36.832416	48.958462
RSRC1	20.293267	19.099314	21.164361	18.483183	41.142999	24.585412	51.695287
CATSPERD	0.021123	0	0.005832	0	0	0.037691	0.018027
PQLC2L	0.35266	0.666526	0.75103	0.065387	5.70129	7.13398	3.246039
RAB1B	28.548449	27.158728	42.125929	45.40091	26.573218	50.216448	60.53877
METTL15P1	0.291902	0.184428	0.010271	0.264119	0.18007	0.776649	0.579335
OR9G1	0	0	0	0	0	0.011653	0
PTDSS2	3.437242	8.063105	5.826885	4.213711	6.123885	9.541334	6.017621
C19orf70	8.224505	12.979217	12.76218	10.967129	13.02789	15.099989	9.071205
C3orf33	0.955151	0.664042	0.909965	0.995984	2.707591	0.842347	3.892689
VN2R1P	0.007954	0.008223	0.00962	0.012942	0	0.039219	0.066994
OR5M3	0	0	0	0	0	0	0
SEZ6L2	3.210192	0.378674	15.071302	7.332507	1.092881	2.123916	4.726532
ASPHD1	0.230859	0.127579	0.785812	0.609383	0.314177	1.891171	0.78367
